Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-03-13,MSFT,147.5,161.910004,140.729996,158.830002,154.109772,92727400
2020-03-13,ORCL,44.450001,47.990002,43.419998,47.93,45.278137,28339400
2020-03-16,AAPL,60.487499,64.769997,60.0,60.552502,59.290047,322423600
2020-03-16,MSFT,140.0,149.350006,135.0,135.419998,131.395508,87905900
2020-03-16,ORCL,42.509998,47.57,41.259998,42.720001,40.356396,27493700
2020-03-17,AAPL,61.877499,64.402496,59.599998,63.215,61.897041,324056000
2020-03-17,MSFT,140.0,147.5,135.0,146.570007,142.214127,81059800
2020-03-17,ORCL,43.619999,47.709999,41.66,46.860001,44.267342,25588900
2020-03-18,MSFT,138.0,146.0,135.020004,140.399994,136.227448,81593200
2020-03-18,ORCL,43.669998,47.799999,42.560001,47.27,44.654659,29557000
2020-03-18,AAPL,59.942501,62.5,59.279999,61.6675,60.381805,300233600
2020-03-19,ORCL,46.470001,47.970001,44.869999,45.07,42.576374,20159100
2020-03-19,AAPL,61.8475,63.209999,60.6525,61.195,59.919155,271857200
2020-03-19,MSFT,142.770004,150.149994,139.0,142.710007,138.468842,85922700
2020-03-20,ORCL,45.02,46.700001,44.509998,45.650002,43.12429,26340800
2020-03-20,AAPL,61.794998,62.9575,57.0,57.310001,56.115158,401693200
2020-03-20,MSFT,146.0,147.100006,135.860001,137.350006,133.268127,84866200
2020-03-23,ORCL,45.0,46.490002,43.889999,44.189999,41.74506,23063700
2020-03-23,AAPL,57.02,57.125,53.1525,56.092499,54.923035,336752800
2020-03-23,MSFT,137.009995,140.570007,132.520004,135.979996,131.938843,78975200
2020-03-24,ORCL,45.330002,48.009998,45.299999,47.84,45.193115,19323700
2020-03-24,MSFT,143.75,149.600006,141.270004,148.339996,143.931534,82516700
2020-03-24,AAPL,59.09,61.922501,58.575001,61.720001,60.433212,287531200
2020-03-25,MSFT,148.910004,154.330002,144.440002,146.919998,142.553726,75638200
2020-03-25,ORCL,47.099998,48.740002,45.48,45.939999,43.398239,25625800
2020-03-25,AAPL,62.6875,64.5625,61.075001,61.380001,60.100304,303602000
2020-03-26,MSFT,148.399994,156.660004,148.369995,156.110001,151.470581,64568100
2020-03-26,ORCL,46.380001,50.740002,46.189999,50.48,47.687061,22417900
2020-03-26,AAPL,61.630001,64.669998,61.59,64.610001,63.262955,252087200
2020-03-27,MSFT,151.75,154.889999,149.199997,149.699997,145.251099,57042300
2020-03-27,ORCL,49.09,51.599998,48.560001,49.830002,47.073021,20025300
2020-03-27,AAPL,63.1875,63.967499,61.762501,61.935001,60.64373,204216800
2020-03-30,ORCL,50.400002,51.59,49.59,50.360001,47.573692,20611900
2020-03-30,AAPL,62.685001,63.880001,62.349998,63.702499,62.374371,167976400
2020-03-30,MSFT,152.440002,160.600006,150.009995,160.229996,155.46817,63420300
2020-03-31,AAPL,63.900002,65.622498,63.0,63.572498,62.247086,197002000
2020-03-31,MSFT,159.399994,164.779999,156.559998,157.710007,153.023056,77927200
2020-03-31,ORCL,51.119999,51.18,48.0,48.330002,45.656006,15802000
2020-04-01,AAPL,61.625,62.18,59.782501,60.227501,58.971825,176218400
2020-04-01,MSFT,153.0,157.75,150.820007,152.110001,147.589447,57969900
2020-04-01,ORCL,46.549999,48.990002,46.040001,48.709999,46.014984,17918200
2020-04-02,MSFT,151.860001,155.479996,150.360001,155.259995,150.645874,49630700
2020-04-02,ORCL,48.18,49.889999,48.099998,49.799999,47.044674,16434400
2020-04-02,AAPL,60.084999,61.287498,59.224998,61.232498,59.955868,165934000
2020-04-03,ORCL,49.299999,50.049999,48.950001,49.400002,46.666813,13362500
2020-04-03,AAPL,60.700001,61.424999,59.7425,60.352501,59.094219,129880000
2020-04-03,MSFT,155.100006,157.380005,152.190002,153.830002,149.258331,41243300
2020-04-06,ORCL,50.400002,51.880001,50.349998,51.490002,48.641174,13845800
2020-04-06,AAPL,62.724998,65.777496,62.345001,65.6175,64.249458,201820400
2020-04-06,MSFT,160.320007,166.5,157.580002,165.270004,160.358353,67111700
2020-04-07,ORCL,52.150002,52.330002,50.709999,50.759998,47.951557,14063000
2020-04-07,AAPL,67.699997,67.925003,64.75,64.857498,63.505299,202887200
2020-04-07,MSFT,169.589996,170.0,163.259995,163.490005,158.631271,62769000
2020-04-08,AAPL,65.684998,66.842499,65.307503,66.517502,65.130684,168895200
2020-04-08,MSFT,165.669998,166.669998,163.5,165.130005,160.222534,48318200
2020-04-08,ORCL,50.98,52.68,50.880001,52.130001,49.47971,15710700
2020-04-09,MSFT,166.360001,167.369995,163.330002,165.139999,160.232224,51385100
2020-04-09,ORCL,52.240002,53.619999,52.029999,53.18,50.47633,15521200
2020-04-09,AAPL,67.175003,67.517502,66.175003,66.997498,65.600693,161834800
2020-04-13,MSFT,164.350006,165.570007,162.300003,165.509995,160.591202,41905300
2020-04-13,ORCL,52.700001,53.139999,52.400002,52.970001,50.277,12694800
2020-04-13,AAPL,67.077499,68.425003,66.457497,68.3125,66.88826,131022800
2020-04-14,MSFT,169.0,173.75,168.0,173.699997,168.537857,52874300
2020-04-14,ORCL,53.709999,54.099998,53.450001,54.0,51.254631,11674600
2020-04-14,AAPL,70.0,72.0625,69.512497,71.762497,70.266342,194994800
